Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner,KD_diff,STR_diff,TD_diff,SUB_diff,target,Time_seconds,Fighter 1_code,Fighter 2_code,Weight_Class_code,Method_code
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Muhammad Naimov,Nathaniel Wood,0.0,0.0,48.0,50.0,4.0,2.0,0.0,0.0,Featherweight,U-DEC,3.0,5:00,UFC 294,2023-10-21,Muhammad Naimov,0.0,-2.0,2.0,0.0,0,300,1188,1639,2,69
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Viktoriia Dudakova,Jinh Yu Frey,1.0,0.0,74.0,47.0,0.0,1.0,0.0,0.0,Women's Strawweight,U-DEC,3.0,5:00,UFC 294,2023-10-21,Viktoriia Dudakova,1.0,27.0,-1.0,0.0,0,300,1634,1047,14,69
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Shara Magomedov,Bruno Silva,0.0,0.0,113.0,65.0,0.0,3.0,0.0,0.0,Middleweight,U-DEC,3.0,5:00,UFC 294,2023-10-21,Shara Magomedov,0.0,48.0,-3.0,0.0,0,300,1481,296,7,69
"Las Vegas, Nevada, USA",Edson Barboza,Sodiq Yusuff,1.0,1.0,164.0,178.0,3.0,1.0,0.0,0.0,Featherweight,U-DEC,5.0,5:00,UFC Fight Night,2023-10-14,Edson Barboza,0.0,-14.0,2.0,0.0,0,300,474,2024,2,69
"Las Vegas, Nevada, USA",Viviane Araujo,Jennifer Maia,0.0,0.0,24.0,41.0,2.0,2.0,1.0,0.0,Women's Flyweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-14,Viviane Araujo,0.0,-17.0,0.0,1.0,0,300,1643,1002,13,69
"Las Vegas, Nevada, USA",Jonathan Martinez,Adrian Yanez,2.0,0.0,36.0,20.0,0.0,0.0,0.0,0.0,Bantamweight,KO/TKO Kicks,2.0,2:26,UFC Fight Night,2023-10-14,Jonathan Martinez,2.0,16.0,0.0,0.0,0,146,807,21,0,10
"Las Vegas, Nevada, USA",Michel Pereira,Andre Petroski,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Middleweight,KO/TKO Punch,1.0,1:06,UFC Fight Night,2023-10-14,Michel Pereira,1.0,6.0,0.0,0.0,0,66,1131,118,7,13
"Las Vegas, Nevada, USA",Christian Rodriguez,Cameron Saaiman,0.0,0.0,83.0,73.0,3.0,0.0,2.0,1.0,Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-14,Christian Rodriguez,0.0,10.0,3.0,1.0,0,300,293,320,0,69
"Las Vegas, Nevada, USA",Darren Elkins,TJ Brown,0.0,0.0,11.0,15.0,5.0,2.0,2.0,0.0,Featherweight,SUB Rear Naked Choke,3.0,2:23,UFC Fight Night,2023-10-14,Darren Elkins,0.0,-4.0,3.0,2.0,0,143,383,2063,2,58
"Las Vegas, Nevada, USA",Tainara Lisboa,Ravena Oliveira,0.0,0.0,18.0,15.0,3.0,2.0,0.0,0.0,Women's Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-14,Tainara Lisboa,0.0,3.0,1.0,0.0,0,300,1531,1791,11,69
"Las Vegas, Nevada, USA",Terrance McKinney,Brendon Marotte,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Knee,1.0,0:20,UFC Fight Night,2023-10-14,Terrance McKinney,1.0,13.0,0.0,0.0,0,20,1548,269,6,11
"Las Vegas, Nevada, USA",Melissa Dixon,Irina Alekseeva,0.0,1.0,52.0,48.0,0.0,1.0,0.0,0.0,Women's Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-14,Melissa Dixon,-1.0,4.0,-1.0,0.0,0,300,1115,886,11,69
"Las Vegas, Nevada, USA",Chris Gutierrez,Alatengheili,0.0,0.0,110.0,38.0,0.0,2.0,0.0,0.0,Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-14,Chris Gutierrez,0.0,72.0,-2.0,0.0,0,300,280,36,0,69
"Las Vegas, Nevada, USA",Emily Ducote,Ashley Yoder,0.0,0.0,117.0,102.0,1.0,0.0,0.0,0.0,Women's Strawweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-14,Emily Ducote,0.0,15.0,1.0,0.0,0,300,488,183,14,69
"Las Vegas, Nevada, USA",Bobby Green,Grant Dawson,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punch,1.0,0:33,UFC Fight Night,2023-10-07,Bobby Green,1.0,7.0,0.0,0.0,0,33,173,812,6,13
"Las Vegas, Nevada, USA",Joe Pyfer,Abdul Razak Alhassan,0.0,0.0,26.0,11.0,3.0,0.0,2.0,1.0,Middleweight,SUB Arm Triangle,2.0,2:05,UFC Fight Night,2023-10-07,Joe Pyfer,0.0,15.0,3.0,1.0,0,125,768,9,7,35
"Las Vegas, Nevada, USA",Joaquin Buckley,Alex Morono,0.0,0.0,68.0,40.0,2.0,1.0,0.0,0.0,Welterweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-07,Joaquin Buckley,0.0,28.0,1.0,0.0,0,300,760,62,10,69
"Las Vegas, Nevada, USA",Drew Dober,Ricky Glenn,1.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punches,1.0,2:36,UFC Fight Night,2023-10-07,Drew Dober,1.0,25.0,0.0,0.0,0,156,448,1828,6,14
