Fighter,Date,Opp,Weight_Class,Total_KD,Total_STR,Total_TD,Total_SUB,Opp_KD,Opp_STR,Opp_TD,Opp_SUB,Round,Time,Target,Avg_Round_Time,Avg_Round,Opp_Avg_Round_Time,Opp_Avg_Round,Fighter_code,Opp_code,Weight_Class_code
Stefan Struve,2011-05-28,Travis Browne,Heavyweight,1,94,2,14,1,41,2,1,1.0,251.0,0,163.42857142857142,1.8571428571428572,365.0625,3.0,2144,2259,4
Stefan Struve,2011-10-01,Pat Barry,Heavyweight,1,104,2,16,6,117,0,0,2.0,202.0,1,205.75,1.875,264.0,2.3,2144,1787,4
Stefan Struve,2012-02-15,Dave Herman,Heavyweight,1,135,2,17,1,55,1,0,2.0,232.0,1,205.33333333333334,1.8888888888888888,219.25,2.5,2144,573,4
Stefan Struve,2012-05-26,Lavar Johnson,Heavyweight,2,182,3,17,2,104,0,0,1.0,65.0,1,208.0,1.9,380.6666666666667,2.6666666666666665,2144,1393,4
Stefan Struve,2012-09-29,Stipe Miocic,Heavyweight,2,182,3,18,1,108,6,0,2.0,230.0,1,195.0,1.8181818181818181,239.2941176470588,3.0588235294117645,2144,2153,4
Stefan Struve,2013-03-02,Mark Hunt,Heavyweight,2,239,3,18,2,73,3,1,3.0,104.0,0,197.91666666666666,1.8333333333333333,320.0625,3.5625,2144,1533,4
Stefan Struve,2014-12-13,Alistair Overeem,Heavyweight,2,263,3,19,4,193,1,0,1.0,253.0,0,198.69230769230768,2.1538461538461537,237.8125,3.375,2144,95,4
Stefan Struve,2015-08-01,Antonio Rodrigo Nogueira,Heavyweight,2,265,3,19,4,205,7,10,3.0,300.0,1,220.64285714285714,2.142857142857143,306.6666666666667,2.5555555555555554,2144,173,4
Stefan Struve,2015-11-14,Jared Rosholt,Heavyweight,2,358,3,19,0,170,9,1,3.0,300.0,0,225.93333333333334,2.2,358.8,3.4,2144,999,4
Stefan Struve,2016-05-08,Antonio Silva,Heavyweight,2,391,4,19,4,167,0,0,1.0,16.0,1,249.3125,2.4375,306.6666666666667,3.2222222222222223,2144,174,4
Stefan Struve,2016-10-08,Daniel Omielanczuk,Heavyweight,3,404,4,19,2,213,4,1,2.0,101.0,1,235.58823529411765,2.3529411764705883,348.14285714285717,4.0,2144,533,4
Stefan Struve,2017-09-02,Alexander Volkov,Heavyweight,3,413,6,20,0,167,1,0,3.0,210.0,0,228.11111111111111,2.3333333333333335,317.0,4.3,2144,82,4
Stefan Struve,2018-03-03,Andrei Arlovski,Heavyweight,3,454,6,20,10,590,3,5,3.0,300.0,0,238.21052631578948,2.526315789473684,269.67857142857144,3.142857142857143,2144,130,4
Stefan Struve,2018-07-22,Marcin Tybura,Heavyweight,3,488,6,20,1,328,6,1,3.0,300.0,0,256.3,2.7,333.9230769230769,3.923076923076923,2144,1499,4
Stefan Struve,2019-02-23,Marcos Rogerio de Lima,Heavyweight,3,519,6,20,3,118,3,3,2.0,141.0,1,272.6666666666667,2.857142857142857,221.8,2.066666666666667,2144,1507,4
Stefan Struve,2019-12-07,Ben Rothwell,Heavyweight,3,519,7,21,3,416,7,4,2.0,297.0,0,266.6818181818182,2.8181818181818183,293.375,3.75,2144,220,4
Stefan Struve,2020-10-24,Tai Tuivasa,Heavyweight,3,572,7,21,2,215,0,0,1.0,299.0,0,280.9130434782609,2.869565217391304,263.9230769230769,2.8461538461538463,2144,2170,4
Stephan Bonnar,2005-04-09,Forrest Griffin,Light Heavyweight,0,0,0,0,0,0,0,0,3.0,300.0,0,0.0,0.0,305.9,2.8,2145,764,5
Stephan Bonnar,2005-08-06,Sam Hoger,Light Heavyweight,0,57,0,0,1,22,0,0,3.0,300.0,1,600.0,6.0,406.25,4.25,2145,2030,5
Stephan Bonnar,2006-01-16,James Irvin,Light Heavyweight,0,100,3,1,1,9,0,0,1.0,270.0,1,450.0,4.5,183.85714285714286,1.7142857142857142,2145,973,5
Stephan Bonnar,2006-04-06,Keith Jardine,Light Heavyweight,0,102,5,3,1,85,0,0,3.0,300.0,1,390.0,3.3333333333333335,327.22222222222223,3.5555555555555554,2145,1314,5
Stephan Bonnar,2006-06-28,Rashad Evans,Light Heavyweight,1,135,6,4,2,71,9,0,3.0,300.0,0,367.5,3.25,332.94736842105266,3.789473684210526,2145,1875,5
Stephan Bonnar,2006-08-26,Forrest Griffin,Light Heavyweight,1,147,6,6,1,179,3,2,3.0,300.0,0,414.0,3.8,305.3636363636364,2.8181818181818183,2145,764,5
Stephan Bonnar,2007-07-07,Mike Nickels,Light Heavyweight,1,188,6,6,0,22,3,1,1.0,134.0,1,445.0,4.166666666666667,0.0,0.0,2145,1647,5
Stephan Bonnar,2007-10-20,Eric Schafer,Light Heavyweight,1,190,6,8,0,10,3,4,2.0,167.0,1,400.57142857142856,3.7142857142857144,395.5,3.375,2145,718,5
Stephan Bonnar,2009-01-31,Jon Jones,Light Heavyweight,1,220,6,8,0,42,2,0,3.0,300.0,0,371.375,3.5,258.3157894736842,3.4210526315789473,2145,1166,5
Stephan Bonnar,2009-07-11,Mark Coleman,Light Heavyweight,1,257,6,8,1,178,17,3,3.0,300.0,0,396.77777777777777,3.7777777777777777,220.25,2.75,2145,1525,5
Stephan Bonnar,2010-02-20,Krzysztof Soszynski,Light Heavyweight,1,283,6,11,1,81,3,3,3.0,64.0,0,417.1,4.0,272.42857142857144,2.5714285714285716,2145,1367,5
Stephan Bonnar,2010-07-03,Krzysztof Soszynski,Light Heavyweight,1,319,8,11,1,129,3,3,2.0,188.0,1,390.8181818181818,4.181818181818182,246.375,2.625,2145,1367,5
Stephan Bonnar,2010-12-04,Igor Pokrajac,Light Heavyweight,2,367,10,11,2,60,5,1,3.0,300.0,1,373.9166666666667,4.0,310.0,3.3333333333333335,2145,906,5
